Edad,Genero,LugarOrigen,PromedioBachillerato,PuntajeExamenAdmision,NivelSocioeconomico,TieneBeca,PromedioPrimerSemestre,Desercion
17,Femenino,Ciudad,7.71,64,Alto,0,7.76,0
22,Masculino,Rural,9.69,53,Medio,0,7.99,1
17,Femenino,Ciudad,8.3,56,Medio,0,6.97,0
17,Femenino,Ciudad,7.53,70,Bajo,1,7.86,1
18,Femenino,Ciudad,7.73,85,Medio,0,7.63,1
20,Femenino,Ciudad,8.16,63,Bajo,1,6.63,0
18,Femenino,Ciudad,8.54,63,Medio,0,8.27,0
20,Femenino,Ciudad,8.37,87,Medio,1,9.07,0
22,Femenino,Ciudad,7.37,58,,0,6.38,1
20,Masculino,Ciudad,9.47,53,Bajo,1,7.62,1
22,Masculino,Ciudad,8.38,61,Bajo,0,7.04,1
19,Masculino,Ciudad,7.93,63,,0,7.46,0
43,Masculino,Ciudad,9.39,97,Bajo,0,8.6,0
20,Femenino,Ciudad,7.55,68,Bajo,0,7.63,1
20,Femenino,Ciudad,7.2,79,Bajo,0,8.02,0
38,Masculino,Ciudad,9.52,98,Alto,0,8.4,0
18,Femenino,Ciudad,10.0,70,Medio,0,8.84,1
22,Masculino,Ciudad,8.13,74,Bajo,0,8.38,0
18,Femenino,Ciudad,8.46,69,Bajo,0,8.22,0
19,Masculino,Rural,7.58,71,Bajo,0,8.15,1
17,Femenino,Ciudad,8.5,72,Medio,0,7.75,1
20,Masculino,Ciudad,8.12,61,Medio,1,6.48,0
18,Masculino,Ciudad,8.42,85,Bajo,1,8.97,0
46,Otro,Ciudad,8.83,98,Bajo,0,8.77,1
19,Femenino,Ciudad,7.62,81,,1,7.7,1
18,Masculino,Ciudad,8.21,80,Medio,0,8.01,0
22,Masculino,Ciudad,7.06,54,Medio,0,7.68,0
20,Masculino,Ciudad,8.22,79,Bajo,1,7.78,0
20,Masculino,Ciudad,8.43,76,Bajo,0,7.69,0
21,Masculino,Rural,8.68,54,Bajo,1,7.44,1
17,Femenino,Ciudad,8.69,67,Alto,0,8.52,0
21,Masculino,Ciudad,9.22,72,Bajo,1,9.59,0
19,Masculino,Ciudad,7.27,86,Medio,0,8.15,1
18,Masculino,Ciudad,7.31,77,Medio,1,6.84,1
19,Femenino,Ciudad,8.92,61,Bajo,1,8.8,0
22,Femenino,Ciudad,6.87,87,Bajo,0,7.59,0
20,Masculino,Ciudad,8.65,70,Bajo,1,7.59,0
21,Masculino,Rural,7.56,67,Medio,0,6.69,0
21,Femenino,Rural,9.76,66,Medio,0,8.94,1
21,Masculino,Ciudad,8.7,53,Medio,0,7.49,0
19,Femenino,Ciudad,8.32,68,Medio,0,7.92,0
20,Femenino,Ciudad,9.48,75,Bajo,1,9.33,0
18,Femenino,Ciudad,7.65,66,Alto,0,6.83,0
22,Femenino,Ciudad,7.8,74,Medio,0,8.33,0
18,Masculino,Rural,7.49,61,Bajo,0,6.69,1
19,Femenino,Ciudad,7.81,68,Alto,0,8.51,0
22,Masculino,Rural,8.55,73,Medio,0,8.36,1
21,Otro,Ciudad,8.9,71,Medio,1,,0
